GEO2010,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Tract 1,s,s,5.2,3.6,s,2.6,0,9.6,2.2,2.6,s,s,1.9,4.2,s,s,72,74,s,s,1.9,0,100,98,79,73,s,s,363441,370028,s,s,1.8,5,8,6,5,6,6,6,10,9,13,16,27,25,24,24,18,0,0,s,s,s,s,0,0,s,s,s,s,s,s,s,s,s,0,12,11,11,11,8.6,8.2,10,8.7,6,6.8,8.6,6.5,4.5,4.5,3.7,3.7,4.9,89,86,71,83,78,87,64,69,73,79,65,77,71,79,79,76,70
Tract 2.01,s,s,71,78,s,i,i,23,100,0,s,s,3.9,7.3,s,s,52,34,s,s,14,0,100,100,67,100,s,s,i,i,s,s,i,s,s,s,s,s,s,s,7,s,s,s,11,10,8,8,8,0,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,0,1.3,1.1,0.9,0.7,1.7,1.2,2.4,1,0,0.3,0.8,0.8,0.3,0.3,0.5,0.5,0.3,22,20,15,10,18,17,13,11,8.4,8.3,12,17,12,9.4,8.7,7.9,1.3
Tract 2.02,s,s,24,23,s,6.5,2.2,13,2.3,4.2,s,s,0.5,4.4,s,s,68,53,s,s,1.4,1.7,100,97,81,79,s,s,291328,269670,s,s,-7.4,s,s,s,s,s,5,s,7,s,s,s,8,7,6,6,9,0,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,0,13,12,12,9.7,11,8,8.1,13,7.6,5.9,8.5,5.9,4.6,4.6,5.7,4.2,4.2,101,100,84,71,75,71,74,79,80,70,62,67,83,81,97,101,94
Tract 3,s,s,16,15,s,12,0,5,0,8.5,s,s,2.1,3.2,s,s,73,76,s,s,1.9,3.7,100,96,88,83,s,s,166990,208149,s,s,25,18,19,22,18,15,21,19,20,23,38,43,42,57,44,58,54,0,7,7,6,s,s,8,s,s,6,10,8,6,s,s,s,s,0,1.7,2.2,1.5,2,1.7,2,1.5,1.8,1.8,1.9,1.8,1.9,1.3,1,1.1,1,1.4,19,25,15,18,14,15,16,23,26,21,24,15,17,18,24,23,20
Tract 4,s,s,3,9.9,s,0,6,7.8,0,2.4,s,s,0.4,2.2,s,s,64,61,s,s,0.9,2.4,100,100,94,88,s,s,463490,446630,s,s,-3.6,10,6,8,6,6,9,12,11,6,7,s,10,7,11,7,8,0,0,0,0,0,0,0,s,s,0,0,0,s,s,s,s,s,0,4,6,2.7,3.4,3.4,4.1,0.7,7.5,4.8,2.7,5.5,4.8,1.4,0,0.7,4.1,1.4,64,56,32,37,36,44,48,54,49,65,59,68,38,25,43,40,36
Tract 5.01,s,s,6,6.4,s,0,17,14,3.4,0,s,s,3.6,2.3,s,s,78,82,s,s,5.5,1.7,100,100,69,62,s,s,167285,226260,s,s,35,s,s,6,8,11,7,6,14,9,6,s,9,5,7,6,10,0,0,0,0,s,0,0,s,s,s,0,0,0,0,0,0,0,0,2.9,8.1,4.1,3,3,4.2,2.6,3.4,2.5,3.3,2.4,3.9,3.3,2.7,1.8,1.2,1.5,45,39,40,39,28,27,17,19,23,21,15,28,24,19,19,17,29
Tract 5.02,s,s,4.3,2.1,s,0,0,1.6,6.3,2.3,s,s,1.3,2,s,s,80,79,s,s,4.7,2.8,100,99,78,74,s,s,217361,277048,s,s,27,7,5,5,8,10,10,9,8,7,16,23,16,16,18,24,26,0,s,s,s,5,s,s,0,0,0,0,s,s,s,s,s,0,0,3.6,4.6,3.2,1.6,4.2,2.9,4.5,1.6,2.8,1.6,2.5,1.3,2.5,1.6,3.1,0.9,0.9,55,36,35,40,32,24,29,21,28,34,21,18,27,20,19,26,23
Tract 6,s,s,4.8,8.9,s,0.9,7.3,6.3,4.8,0,s,s,0.9,3,s,s,63,71,s,s,13,2.1,99,99,81,81,s,s,294290,300585,s,s,2.1,21,22,21,14,17,20,17,10,13,10,20,27,32,36,41,37,0,5,8,9,6,5,s,s,0,0,s,6,s,0,s,s,0,0,2.6,3,2.7,2.7,1.3,1.5,1.5,1.3,1.7,2.4,1.8,3.1,2,1.8,1.3,0.4,1.8,32,33,29,36,26,22,21,26,32,34,33,31,33,24,25,34,26
Tract 7.01,s,s,5.8,9.9,s,0,9.2,2.6,4.1,5.8,s,s,3.9,3.9,s,s,64,64,s,s,4,3.4,100,96,76,79,s,s,180070,169323,s,s,-6,18,12,17,14,16,15,15,11,16,27,39,52,65,71,68,70,0,5,s,s,s,5,s,s,s,5,5,0,s,8,5,0,0,0,1.6,0.5,2,0.4,0.7,0.7,0.4,0.4,0.2,0.7,0.2,0.2,0.6,0.2,0.2,0.4,0.9,21,21,16,15,17,19,16,10,11,9.6,13,9.3,17,17,14,10,8.7
Tract 7.02,s,s,19,12,s,24,0,1.9,14,0,s,s,2.9,4,s,s,74,79,s,s,4.4,1,100,93,67,69,s,s,91471,121984,s,s,33,23,20,18,16,24,22,28,24,24,31,35,35,42,44,47,50,0,7,7,s,s,s,s,7,7,5,7,s,s,0,s,s,6,0,1.8,1.8,0.9,0.9,0.6,0,0.3,0,0.6,1.2,0.3,0.9,0.3,0.3,0.9,0,0.3,9.8,13,10,11,12,11,11,3.9,7.8,10,13,7.4,9.2,5.4,9.5,15,10
Tract 8.01,s,s,7.4,14,s,3.9,3.7,2.4,0.5,2.6,s,s,20,5.1,s,s,56,55,s,s,1.7,1.6,99,98,85,88,s,s,270493,358332,s,s,32,11,10,9,12,13,12,9,9,9,12,15,26,43,41,42,35,0,6,s,s,s,s,s,0,0,0,0,s,s,5,7,s,s,0,0.7,1,0.4,0,0.4,0.3,0.3,0.4,0.1,0.4,0.3,0.3,0.6,0.3,0.3,0.3,0.3,15,15,14,11,10,9.7,9.7,9.7,13,12,11,13,11,12,14,16,13
Tract 8.02,s,s,13,14,s,5.7,1.1,3,3.3,0,s,s,1.5,4.2,s,s,70,65,s,s,2,3.2,100,94,93,90,s,s,226981,245661,s,s,8.2,s,s,5,5,5,6,s,s,s,5,7,14,14,20,21,23,0,s,0,0,0,0,s,0,0,0,0,0,s,0,0,0,0,0,1.1,1.4,3.2,2.5,0.7,1.8,0.7,1.8,0.4,1.7,1.7,1.4,1.4,1,0,0,0.7,31,16,14,33,13,12,14,14,19,19,31,16,13,14,10,8.7,14
Tract 9.01,s,s,4.4,11,s,0,1.7,0,1.4,2.3,s,s,59,9.6,s,s,33,38,s,s,1.9,2.3,100,99,97,92,s,s,416548,393274,s,s,-5.6,5,s,s,s,s,s,s,s,s,s,s,7,16,15,15,22,0,s,s,s,s,s,s,0,0,0,0,0,s,s,s,s,0,0,1,1.5,0.7,0.3,0.6,0.3,1.3,0.3,0.4,0.3,0.1,0.1,0.1,0.3,0.3,0.7,0.8,21,19,17,17,12,12,9.2,10,7.9,9.2,9.8,9.6,9.5,14,9.6,8.5,8.5
Tract 9.02,s,s,3.2,1.7,s,2.1,0.7,7.2,0,0.3,s,s,0.8,2,s,s,74,73,s,s,3,1.3,100,99,95,98,s,s,288079,351946,s,s,22,s,s,0,s,s,s,s,s,s,5,s,6,18,18,12,15,0,0,s,0,0,0,0,0,0,0,0,0,s,8,8,s,s,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,1,0,0.5,0,0.5,0,0.5,1.4,1,17,13,9,14,9.4,12,9.8,14,9.2,17,15,8.6,9.1,16,8.6,8.6,15
Tract 10.01,s,s,4.6,4.7,s,1.4,0.9,5.2,3.4,4,s,s,2.8,2.3,s,s,72,63,s,s,3.4,1.1,100,100,87,88,s,s,229532,199554,s,s,-13,10,11,11,10,11,19,22,19,20,28,38,46,34,41,45,57,66,0,0,0,0,0,s,s,0,0,0,0,s,6,s,s,s,s,4,4.4,4.3,3.6,3.2,3,1.6,4.4,2.8,3.4,3.1,3.4,2,1.5,1.6,1.6,2.3,41,38,35,36,33,29,26,53,61,54,48,48,44,59,52,50,44
Tract 10.02,s,s,18,28,s,8.5,0,5.7,0,9.8,s,s,2.5,5,s,s,71,72,s,s,1.9,4.7,99,96,76,76,s,s,107459,159898,s,s,49,10,7,7,11,14,8,6,6,6,19,20,22,21,19,17,22,24,s,s,s,7,9,0,s,s,s,s,s,s,s,s,s,s,s,3.2,2.9,2,0.6,2.6,1.7,1.4,1.2,2,0.9,0.9,2.3,0.6,1.5,1.2,1.7,1.2,33,30,24,22,30,25,18,19,22,24,17,16,18,13,14,16,12
Tract 11,s,s,2,4,s,0,0,7.9,10,0,s,s,1.3,3.5,s,s,73,66,s,s,4.4,0.7,99,99,88,86,s,s,259148,255862,s,s,-1.3,34,28,32,29,34,36,47,49,45,53,64,74,83,92,87,108,101,s,0,8,s,0,0,s,s,8,8,7,11,6,7,9,5,6,7.2,9.4,8.7,6.8,5.7,4.8,7.8,5.1,3.2,4.4,5.4,2.5,3.1,3.1,4.4,4.4,5,76,62,68,76,73,56,44,33,43,52,40,36,54,71,56,53,44
Tract 12,s,s,7.2,5.2,s,3.7,0,3,9,9.4,s,s,1.6,1.6,s,s,79,75,s,s,4.6,2.2,100,99,77,68,s,s,196731,192444,s,s,-2.2,10,12,16,20,18,13,18,23,20,35,37,34,47,53,39,47,67,0,5,8,5,s,s,s,6,s,s,9,6,13,9,7,8,8,2.9,3.1,1.2,1.8,0.6,0.8,0.6,2,2,3,1.4,1.4,2.2,0.6,2.2,2,1.4,19,22,23,17,18,18,12,25,26,24,20,24,29,27,36,37,26
Tract 13.01,s,s,8.1,6.4,s,4.4,6.1,5.7,1.8,0,s,s,1,3.4,s,s,72,79,s,s,1.9,1.3,100,98,82,74,s,s,304427,282980,s,s,-7,5,s,5,7,11,10,15,9,11,17,21,27,20,22,29,28,26,0,0,0,0,s,0,0,5,s,6,s,10,5,6,7,s,8,0.5,1.9,1.8,0.3,0.3,1.6,1.3,0.8,1,0.3,0.8,0.3,0,0.3,0.3,0,0,22,21,14,24,25,15,14,20,16,16,9.1,16,9.1,7.6,7.1,10,6.3
Tract 13.02,s,s,4.3,11,s,3.7,5.2,3.1,5.1,6.8,s,s,2.1,3.6,s,s,75,77,s,s,1.6,0.8,99,97,67,63,s,s,170395,194520,s,s,14,14,16,17,10,13,13,18,17,16,16,21,37,38,36,43,46,36,s,s,s,s,s,s,s,s,s,s,0,0,0,0,0,0,0,3.3,4.8,4,2,2.3,3,2.6,1.2,1.3,1.6,2.2,0.7,0.4,1.3,0.6,0.6,0.4,44,33,35,40,30,26,24,17,18,20,18,18,7.4,12,12,12,8.5
Tract 14.01,s,s,3.4,7.4,s,1.4,0.8,2.9,2.4,6.7,s,s,3.9,4.7,s,s,73,66,s,s,4.2,2.4,100,96,79,78,s,s,268291,285034,s,s,6.2,20,15,13,16,19,20,23,16,17,20,32,31,40,50,47,52,51,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,3.2,4.1,2.6,2.6,2.6,0.6,1.6,0.3,1.3,0.6,1,0.3,1.3,0.6,1.3,0.6,0.3,24,25,21,27,22,17,16,11,11,18,16,17,15,28,17,12,14
Tract 14.02,s,s,13,9.7,s,4,6.2,21,33,3,s,s,1.9,3.1,s,s,43,68,s,s,17,9.5,97,99,74,75,s,s,161698,237377,s,s,47,19,13,12,15,18,19,21,15,16,19,30,29,37,47,44,48,48,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,1,1.8,2.4,1.6,2.5,1.7,1.2,0.9,0.9,1,1.3,2.7,0.7,0.3,0.7,0.3,0.3,20,16,19,21,17,18,14,12,17,20,17,16,19,23,12,15,16
Tract 15,s,s,1.6,1.7,s,0,0.8,3.8,3.8,0,s,s,1.8,2.8,s,s,63,65,s,s,2.1,1.1,100,99,91,98,s,s,212200,242619,s,s,14,0,7,5,5,8,s,s,6,5,7,12,22,25,24,16,26,14,s,s,s,0,s,0,0,s,0,0,0,s,s,6,s,6,0,0.5,0.7,0,0.3,0.5,0.2,0.5,0.2,0.3,0,0.3,1.2,0.2,0,0.8,0.2,0.5,15,16,14,16,10,13,8.4,11,9.7,18,14,11,9.8,14,21,12,14
Tract 16,s,s,4.9,3.9,s,6.9,1.1,3.8,5.6,6.4,s,s,3.9,8.5,s,s,63,62,s,s,3.8,2.3,99,97,90,97,s,s,184793,208653,s,s,13,63,58,64,73,78,94,93,102,103,154,181,204,209,203,198,216,184,29,27,31,34,36,54,33,37,37,42,44,56,51,56,65,60,50,5,5.2,2.5,5.2,4.2,5.3,5.3,6,6.8,3,4.8,2.8,5.6,5.3,3.5,3,5.3,37,42,43,45,28,31,27,35,35,44,35,34,50,38,56,45,34
Tract 17.02,s,s,4.3,9,s,2.2,18,3.9,4.4,1.8,s,s,5.8,8.4,s,s,58,73,s,s,15,11,100,99,86,93,s,s,101129,135451,s,s,34,156,152,130,135,158,173,192,192,193,235,262,308,347,362,342,334,306,87,79,67,65,78,71,77,81,75,90,101,94,107,99,100,98,92,13,13,18,16,19,13,14,20,14,13,7.2,7.6,7.6,6.8,7.2,6.1,11,80,89,82,69,64,54,40,49,52,58,60,61,60,65,106,88,66
Tract 18.03,s,s,12,13,s,12,13,16,20,17,s,s,8.8,7,s,s,60,67,s,s,24,18,99,96,64,72,s,s,79550,85507,s,s,7.5,180,178,149,192,208,215,251,258,286,424,550,693,832,877,857,917,943,81,77,55,66,68,77,86,77,103,128,153,150,198,173,185,185,173,4.6,5.1,8.6,18,8.6,8.2,5.7,13,5,6.6,6,4,8.5,3.1,4.8,7.4,6,34,35,44,40,29,25,20,20,20,14,12,12,18,25,32,16,16
Tract 18.04,s,s,17,16,s,27,25,11,10,15,s,s,7.2,9.9,s,s,61,62,s,s,29,23,97,99,64,74,s,s,69454,60139,s,s,-13,299,311,333,383,423,447,504,461,505,624,902,1219,1382,1351,1235,1367,1357,141,149,179,187,178,202,246,187,197,227,240,296,322,301,293,295,263,7.7,9.6,13,14,12,10,11,18,14,13,9.2,7.6,13,10,8.5,14,9.4,30,38,40,36,40,27,21,33,36,29,28,28,33,39,80,79,58
Tract 19.01,s,s,11,11,s,18,19,7.6,8.8,18,s,s,5.1,9.2,s,s,56,60,s,s,26,7.2,99,97,81,84,s,s,90304,92596,s,s,2.5,298,275,275,311,366,403,430,481,535,643,750,879,938,911,892,886,758,164,178,186,167,179,172,168,179,194,205,235,264,271,243,235,242,191,13,6,9.5,13,12,9.5,9,7,9,12,9.2,8,11,9,7,8.7,5,33,31,41,38,28,36,21,23,25,25,28,33,32,31,40,45,40
Tract 19.02,s,s,8.8,8.5,s,12,25,11,2.8,6,s,s,6.7,7.6,s,s,53,63,s,s,15,10,99,98,79,89,s,s,98017,103721,s,s,5.8,158,139,142,160,192,192,170,160,192,254,327,351,333,337,325,292,281,79,74,83,98,106,87,72,80,91,87,103,113,111,101,87,77,76,6.9,5.9,7.9,13,11,15,12,12,8.1,11,7.6,12,7.6,10,6.1,3.6,3.6,45,50,62,58,38,44,49,40,49,50,55,59,29,59,46,49,37
Tract 20.01,s,s,17,6.8,s,15,3.1,23,20,13,s,s,3,7.5,s,s,56,62,s,s,26,21,97,96,61,68,s,s,106284,129112,s,s,21,175,184,140,188,199,189,189,210,218,302,392,459,498,535,516,531,516,81,95,75,86,103,92,71,66,79,109,114,123,128,113,84,79,79,7.6,4.9,7.7,13,16,11,10,14,14,8.1,9.8,3.8,7.3,8.5,8.5,6.8,7.3,30,38,48,40,40,50,33,33,30,23,32,33,31,30,37,26,27
Tract 20.02,s,s,9.6,13,s,11,18,16,12,6,s,s,7.2,11,s,s,56,65,s,s,23,14,100,99,76,85,s,s,100676,121171,s,s,20,321,273,279,295,309,375,362,356,413,554,714,826,882,883,813,783,729,148,133,131,145,138,160,137,132,146,184,208,196,193,195,154,150,145,11,5.9,10,17,15,12,9.5,17,15,14,12,7.9,17,11,18,19,13,57,43,47,47,54,44,30,47,40,34,31,38,47,53,66,52,48
Tract 21.01,s,s,20,15,s,31,30,15,16,12,s,s,8.6,10,s,s,52,65,s,s,29,19,99,98,64,63,s,s,66317,73855,s,s,11,698,662,623,668,775,822,865,829,885,1233,1461,1670,1822,1830,1698,1785,1530,361,387,394,366,418,400,428,393,413,470,501,516,594,576,497,496,428,15,12,14,21,19,13,13,18,16,16,17,12,15,13,11,14,7.3,46,32,35,32,31,41,36,32,23,29,31,30,27,29,30,27,25
Tract 21.02,s,s,9.1,18,s,9.9,35,12,8.1,17,s,s,11,11,s,s,52,61,s,s,24,7.1,99,95,65,74,s,s,71034,85625,s,s,21,545,468,510,610,629,647,669,670,740,872,1091,1256,1305,1347,1170,1198,1109,320,300,312,340,331,313,306,298,315,365,403,417,405,379,311,260,259,12,14,13,14,11,12,12,9.9,12,10,11,8,11,8.6,9,7.5,5.6,39,43,48,35,35,32,36,34,28,28,34,32,28,36,38,39,24
Tract 22.01,s,s,13,7.9,s,18,0,17,19,16,s,s,5.3,14,s,s,54,62,s,s,31,13,99,98,73,80,s,s,79189,108112,s,s,37,368,357,369,384,406,446,466,498,512,642,780,952,952,942,906,873,763,215,208,228,219,232,244,246,214,200,230,250,296,305,273,252,241,229,8.6,7.7,8.3,13,8.6,11,9.2,18,14,13,15,7,10,10,9.9,5.2,5.8,33,32,34,33,27,25,22,31,26,22,20,25,17,32,19,20,18
Tract 22.02,s,s,15,26,s,21,33,16,11,21,s,s,8.4,15,s,s,53,56,s,s,29,18,97,93,66,65,s,s,69270,71453,s,s,3.2,527,499,452,450,460,513,522,508,592,697,900,1034,1149,1154,1099,1074,983,270,277,274,243,224,243,236,212,251,262,311,355,362,383,345,262,228,6.3,8.9,12,11,8.9,14,11,13,13,14,12,8.4,10,12,12,12,8.4,26,24,46,33,21,23,19,24,26,26,27,18,28,27,26,24,17
Tract 23.01,s,s,18,10,s,32,12,22,15,4.1,s,s,9.3,7.9,s,s,52,68,s,s,30,12,98,99,71,82,s,s,98093,109510,s,s,12,435,384,418,428,441,445,466,409,489,566,633,721,752,781,704,735,647,262,236,274,254,251,240,235,191,202,204,172,184,208,186,155,169,144,7.4,4.3,12,9.4,6.4,7.4,8,9.1,7.7,8.1,8.7,5,4.4,8.1,5.7,4.4,4,31,34,43,34,32,38,22,19,19,26,22,19,18,21,23,24,15
Tract 23.02,s,s,24,24,s,11,0,31,0,27,s,s,4.2,2.5,s,s,49,48,s,s,12,6.7,98,74,88,63,s,s,71388,90985,s,s,27,25,24,25,30,27,50,64,68,49,45,67,60,61,68,69,80,62,11,8,5,13,6,17,10,11,15,12,15,17,16,19,17,26,21,5.2,7.8,7.4,9.7,9.9,11,5.1,3.3,11,4.1,4.9,3.4,4.4,5.4,6.4,5.4,4.4,71,102,88,87,69,79,52,65,67,42,31,29,30,41,40,34,24
Tract 24,s,s,15,7.8,s,20,3.9,12,16,9.9,s,s,12,10,s,s,49,65,s,s,32,11,96,97,68,77,s,s,68809,101198,s,s,47,448,396,369,473,503,497,525,575,544,708,834,913,933,900,775,753,651,241,199,241,263,286,275,248,235,220,268,314,288,314,290,236,217,195,14,11,15,16,17,17,17,22,23,22,19,12,10,13,11,6.4,6.4,40,38,53,42,33,27,34,51,39,45,49,32,40,47,39,32,28
Tract 25.01,s,s,13,23,s,9,30,14,19,47,s,s,8.4,9.9,s,s,56,59,s,s,31,21,98,98,67,66,s,s,112832,112254,s,s,-0.5,242,247,228,259,297,281,306,311,311,394,478,563,631,615,547,541,534,102,104,87,95,123,105,115,108,95,105,116,138,155,139,127,122,127,15,8.8,14,17,19,9.3,17,20,13,15,12,6.3,9.8,14,7.4,11,11,39,55,50,39,38,37,29,36,33,29,27,32,42,47,54,49,34
Tract 25.02,s,s,19,15,s,26,23,14,8.1,11,s,s,6.7,5.9,s,s,55,75,s,s,43,22,97,99,55,57,s,s,58426,116622,s,s,100,610,510,550,609,642,700,700,681,672,938,1271,1556,1767,1806,1596,1660,1526,346,305,310,295,287,351,308,254,249,285,350,354,399,386,342,304,259,18,12,15,15,15,20,16,15,17,16,13,16,14,16,13,11,9.2,48,40,48,40,42,31,34,32,31,30,33,38,41,51,60,58,65
Tract 26,s,s,8.5,5.1,s,9.4,2.2,5.1,7.8,4.7,s,s,5.8,7.4,s,s,55,65,s,s,6.1,3.2,100,99,86,89,s,s,186242,196308,s,s,5.4,29,24,16,31,43,45,44,41,42,71,79,76,88,81,79,82,85,19,13,7,12,13,12,18,16,8,12,10,18,12,11,11,10,10,5.9,5.9,5.9,5,3.2,2.8,3.2,3.7,2.3,4.1,2.8,2.3,4.6,2.3,2.3,3.7,3.2,60,41,64,49,42,37,37,30,44,44,34,44,48,40,57,40,35
